latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
24.129,-99.197,304.7,1.3,1.1,2018-09-07,0840,A,61,6.0NRT,290.2,7.3,N
24.129,-99.203,302.5,1.3,1.1,2018-09-07,0840,A,49,6.0NRT,290.2,5.4,N
24.041,-99.106,300.2,1.3,1.1,2018-09-07,0840,A,22,6.0NRT,289,4.1,N
33.668,-96.025,308.2,1.3,1.1,2018-09-07,0835,A,74,6.0NRT,290.4,11,N
49.513,-114.833,323.1,1.3,1.1,2018-09-07,1010,A,100,6.0NRT,285.4,33.7,N
49.486,-114.855,323.4,1.3,1.1,2018-09-07,1010,A,100,6.0NRT,282,34.2,N
49.688,-118.182,304.9,1,1,2018-09-07,1010,A,62,6.0NRT,286.4,8.7,N
49.679,-118.185,301.3,1,1,2018-09-07,1010,A,36,6.0NRT,285,6.4,N
49.518,-118.004,314.8,1,1,2018-09-07,1010,A,78,6.0NRT,286.6,14.8,N
49.507,-117.993,323.5,1,1,2018-09-07,1010,A,100,6.0NRT,289,23.5,N
49.505,-117.98,306.7,1,1,2018-09-07,1010,A,59,6.0NRT,287.2,9.4,N
49.498,-117.996,322.6,1,1,2018-09-07,1010,A,98,6.0NRT,288.3,21.1,N
49.494,-117.969,315.5,1,1,2018-09-07,1010,A,38,6.0NRT,289,15.1,N
49.487,-117.979,322.8,1,1,2018-09-07,1010,A,100,6.0NRT,290.7,23,N
49.485,-117.965,310.7,1,1,2018-09-07,1010,A,54,6.0NRT,286.5,12.1,N
49.479,-117.982,307.7,1,1,2018-09-07,1010,A,72,6.0NRT,285.8,11,N
49.403,-117.864,304.5,1,1,2018-09-07,1010,A,54,6.0NRT,281.5,8.6,N
49.401,-117.85,326.8,1,1,2018-09-07,1010,A,100,6.0NRT,286,28.4,N
49.392,-117.853,323.7,1,1,2018-09-07,1010,A,100,6.0NRT,287.7,24.2,N
49.389,-117.84,310.5,1,1,2018-09-07,1010,A,20,6.0NRT,286.1,11.5,N
49.387,-117.826,305.9,1,1,2018-09-07,1010,A,56,6.0NRT,283.4,9.6,N
49.376,-117.816,315.7,1,1,2018-09-07,1010,A,41,6.0NRT,285,15.7,N
49.362,-117.84,326.5,1,1,2018-09-07,1010,A,100,6.0NRT,289.1,27.9,N
49.359,-117.826,305.4,1,1,2018-09-07,1010,A,35,6.0NRT,287,8.3,N
49.153,-116.882,306.7,1.1,1,2018-09-07,1010,A,69,6.0NRT,282.7,12,N
48.581,-114.007,306.3,1.4,1.2,2018-09-07,1010,A,68,6.0NRT,281.2,17.8,N
48.588,-114.012,305.3,1.4,1.2,2018-09-07,1010,A,64,6.0NRT,280.7,16.5,N
48.616,-115.523,313.8,1.2,1.1,2018-09-07,1010,A,88,6.0NRT,287.4,19,N
48.607,-115.527,311.4,1.2,1.1,2018-09-07,1010,A,62,6.0NRT,286.9,15.5,N
48.604,-115.511,322.9,1.2,1.1,2018-09-07,1010,A,100,6.0NRT,288.1,29.5,N
48.594,-115.514,305.2,1.2,1.1,2018-09-07,1010,A,41,6.0NRT,285.7,10.2,N
49.291,-120.248,318.2,1,1,2018-09-07,1010,A,96,6.0NRT,282,19.3,N
49.284,-120.264,325.9,1,1,2018-09-07,1010,A,100,6.0NRT,283.7,26.6,N
49.282,-120.251,331.4,1,1,2018-09-07,1010,A,100,6.0NRT,286.3,33.5,N
